"id","entityA.id","entityA.type","entityB.id","entityB.type","date","temp"
"0_3_0","0","Dragon","3","Dragon","-1917478511823","187"
"0_3_1","0","Dragon","3","Dragon","-1134316575110","333"
"0_3_3","0","Dragon","3","Dragon","-1900890540445","360"
"0_3_6","0","Dragon","3","Dragon","-56394386463","628"
"1_3_0","1","Dragon","3","Dragon","-1833317259140","310"
"1_3_3","1","Dragon","3","Dragon","-82603777622","545"
"2_3_0","2","Dragon","3","Dragon","-761437984424","471"
"2_3_1","2","Dragon","3","Dragon","-1213809002547","210"
"2_3_2","2","Dragon","3","Dragon","-1365616951588","246"
"0_4_0","0","Dragon","4","Dragon","-1988480182729","157"
"0_4_2","0","Dragon","4","Dragon","-1328201388596","381"
"0_4_3","0","Dragon","4","Dragon","-646099286187","604"
"3_4_0","3","Dragon","4","Dragon","-466926296545","340"
"3_4_1","3","Dragon","4","Dragon","475029510753","551"
"2_4_2","2","Dragon","4","Dragon","6067672362","366"
"0_5_1","0","Dragon","5","Dragon","-315991944094","175"
"0_5_3","0","Dragon","5","Dragon","898121641028","569"
"1_5_0","1","Dragon","5","Dragon","-1785239953863","224"
"1_5_1","1","Dragon","5","Dragon","-144057494570","409"
"1_5_3","1","Dragon","5","Dragon","163407092811","665"
"3_5_0","3","Dragon","5","Dragon","-1829700160965","698"
"3_5_1","3","Dragon","5","Dragon","-58299678905","529"
"3_5_2","3","Dragon","5","Dragon","-1798106604091","591"
"3_5_3","3","Dragon","5","Dragon","-457957540467","643"
"3_5_5","3","Dragon","5","Dragon","601892772940","194"
"5_6_0","5","Dragon","6","Dragon","505125470523","544"
"5_6_2","5","Dragon","6","Dragon","-2114630640246","202"
"5_6_3","5","Dragon","6","Dragon","-1687497669870","223"
"4_6_0","4","Dragon","6","Dragon","-912780456948","312"
"4_6_2","4","Dragon","6","Dragon","-1205947593328","240"
"4_6_3","4","Dragon","6","Dragon","-4261895772","594"
"2_6_0","2","Dragon","6","Dragon","514723727636","188"
"2_6_1","2","Dragon","6","Dragon","791325624468","377"
"2_6_2","2","Dragon","6","Dragon","-1561670018246","374"
"2_6_6","2","Dragon","6","Dragon","-2109844989106","688"
"2_7_0","2","Dragon","7","Dragon","844851441751","190"
"2_7_1","2","Dragon","7","Dragon","-187564065585","468"
"2_7_2","2","Dragon","7","Dragon","-1018111786200","414"
"2_7_3","2","Dragon","7","Dragon","-1793730481826","566"
"2_7_4","2","Dragon","7","Dragon","57090512423","190"
"2_7_5","2","Dragon","7","Dragon","-276667117438","569"
"4_7_0","4","Dragon","7","Dragon","-1091738042113","258"
"4_7_2","4","Dragon","7","Dragon","-1115636087844","699"
"4_7_4","4","Dragon","7","Dragon","-1951842454324","593"
"5_7_0","5","Dragon","7","Dragon","-1664111800117","514"
"5_7_4","5","Dragon","7","Dragon","-749612174427","615"
"5_7_5","5","Dragon","7","Dragon","-1431084037196","547"
"0_8_0","0","Dragon","8","Dragon","-494106549746","696"
"0_8_1","0","Dragon","8","Dragon","-1940465955311","390"
"0_8_2","0","Dragon","8","Dragon","559430054538","529"
"0_8_3","0","Dragon","8","Dragon","718594790123","524"
"1_8_0","1","Dragon","8","Dragon","-1450419667773","158"
"1_8_2","1","Dragon","8","Dragon","-1019527467858","445"
"1_8_3","1","Dragon","8","Dragon","563944207740","101"
"1_8_4","1","Dragon","8","Dragon","527026335167","348"
"2_8_0","2","Dragon","8","Dragon","665874009804","421"
"2_8_2","2","Dragon","8","Dragon","696664280345","554"
"2_8_4","2","Dragon","8","Dragon","-1855072889373","630"
"6_9_1","6","Dragon","9","Dragon","-952821498134","435"
"6_9_2","6","Dragon","9","Dragon","-332686503858","656"
"6_9_3","6","Dragon","9","Dragon","117305500741","602"
"5_9_0","5","Dragon","9","Dragon","339890875079","156"
"5_9_1","5","Dragon","9","Dragon","-1797974259828","290"
"2_9_0","2","Dragon","9","Dragon","510956989312","601"
"2_9_1","2","Dragon","9","Dragon","-1598445936715","469"
"2_9_3","2","Dragon","9","Dragon","-1424659081986","501"
"2_9_4","2","Dragon","9","Dragon","233558346860","273"
"2_9_5","2","Dragon","9","Dragon","-101944634079","244"
"2_9_6","2","Dragon","9","Dragon","-1152549486932","516"
"2_10_0","2","Dragon","10","Dragon","-750957744686","445"
"2_10_1","2","Dragon","10","Dragon","-2035462256748","271"
"2_10_2","2","Dragon","10","Dragon","-498873643625","127"
"2_10_3","2","Dragon","10","Dragon","-1284200258361","656"
"2_10_4","2","Dragon","10","Dragon","-1595631729275","456"
"2_10_5","2","Dragon","10","Dragon","-701436457869","565"
"4_10_0","4","Dragon","10","Dragon","-329287079835","595"
"4_10_1","4","Dragon","10","Dragon","802220078095","345"
"4_10_2","4","Dragon","10","Dragon","-1125264693173","310"
"4_10_3","4","Dragon","10","Dragon","-1114875383670","369"
"4_10_4","4","Dragon","10","Dragon","-339026688129","130"
"5_10_0","5","Dragon","10","Dragon","-1585085222679","236"
"5_10_1","5","Dragon","10","Dragon","-1883238345499","137"
"5_10_3","5","Dragon","10","Dragon","-149842780357","263"
"6_11_0","6","Dragon","11","Dragon","-1729050593200","512"
"6_11_1","6","Dragon","11","Dragon","-771205523500","497"
"6_11_2","6","Dragon","11","Dragon","17239441157","507"
"6_11_3","6","Dragon","11","Dragon","-1896552995335","344"
"6_11_4","6","Dragon","11","Dragon","516096559658","691"
"6_11_6","6","Dragon","11","Dragon","690889857563","411"
"3_11_0","3","Dragon","11","Dragon","-195836320940","199"
"3_11_1","3","Dragon","11","Dragon","928267409141","325"
"3_11_2","3","Dragon","11","Dragon","-2185616440917","687"
"3_11_3","3","Dragon","11","Dragon","-686160542724","631"
"3_11_4","3","Dragon","11","Dragon","721593887527","417"
"3_11_5","3","Dragon","11","Dragon","-1791541369662","373"
"4_11_0","4","Dragon","11","Dragon","585843884224","407"
"4_11_1","4","Dragon","11","Dragon","332703701549","661"
"4_11_2","4","Dragon","11","Dragon","-1133499814427","324"
"4_11_3","4","Dragon","11","Dragon","-1847506760992","458"
"4_11_4","4","Dragon","11","Dragon","-860555305815","543"
"4_12_2","4","Dragon","12","Dragon","-153059448438","159"
