"id","entityA.id","entityA.type","entityB.id","entityB.type","since"
"0_0","0","DRAGON","0","Kingdom","-373907291568"
"1_0","1","DRAGON","0","Kingdom","897077439475"
"2_0","2","DRAGON","0","Kingdom","-25681039151"
"3_0","3","DRAGON","0","Kingdom","-737546839404"
"4_0","4","DRAGON","0","Kingdom","-607882811213"
"5_0","5","DRAGON","0","Kingdom","-1864419502871"
"6_0","6","DRAGON","0","Kingdom","-1684435693472"
"7_0","7","DRAGON","0","Kingdom","-515412615285"
"8_0","8","DRAGON","0","Kingdom","-1847321848277"
"9_0","9","DRAGON","0","Kingdom","-584636033635"
"10_0","10","DRAGON","0","Kingdom","571115923261"
"11_0","11","DRAGON","0","Kingdom","-1398872118529"
"12_0","12","DRAGON","0","Kingdom","696199215967"
"13_0","13","DRAGON","0","Kingdom","325381839439"
"14_0","14","DRAGON","0","Kingdom","-500054089418"
"15_0","15","DRAGON","0","Kingdom","630783950072"
"16_0","16","DRAGON","0","Kingdom","-813947017994"
"17_0","17","DRAGON","0","Kingdom","-957719854772"
"18_0","18","DRAGON","0","Kingdom","-389504480744"
"19_0","19","DRAGON","0","Kingdom","-2155468264567"
"20_0","20","DRAGON","0","Kingdom","-247919208855"
"21_0","21","DRAGON","0","Kingdom","-1549035540335"
"22_0","22","DRAGON","0","Kingdom","-842031125350"
"23_0","23","DRAGON","0","Kingdom","825237760451"
"24_0","24","DRAGON","0","Kingdom","477979849240"
"25_0","25","DRAGON","0","Kingdom","89667694310"
"26_0","26","DRAGON","0","Kingdom","237147418891"
"27_0","27","DRAGON","0","Kingdom","763942920677"
"28_0","28","DRAGON","0","Kingdom","442473785558"
"29_0","29","DRAGON","0","Kingdom","-17729132821"
"30_0","30","DRAGON","0","Kingdom","-405659092"
"31_0","31","DRAGON","0","Kingdom","-1956597921587"
"32_0","32","DRAGON","0","Kingdom","-272013514202"
"33_0","33","DRAGON","0","Kingdom","-1495852368533"
"34_0","34","DRAGON","0","Kingdom","-800756991098"
"35_0","35","DRAGON","0","Kingdom","576373367130"
"36_0","36","DRAGON","0","Kingdom","-836870164332"
"37_0","37","DRAGON","0","Kingdom","-615374154861"
"38_0","38","DRAGON","0","Kingdom","-193690109233"
"39_0","39","DRAGON","0","Kingdom","-43296599336"
"40_0","40","DRAGON","0","Kingdom","-1339794418187"
"41_0","41","DRAGON","0","Kingdom","-1150703430040"
"42_0","42","DRAGON","0","Kingdom","-782498446711"
"43_0","43","DRAGON","0","Kingdom","684208168637"
"44_0","44","DRAGON","0","Kingdom","-686546252097"
"45_0","45","DRAGON","0","Kingdom","-1574262048171"
"46_0","46","DRAGON","0","Kingdom","305643358621"
"47_0","47","DRAGON","0","Kingdom","911228911326"
"48_0","48","DRAGON","0","Kingdom","-1084098786738"
"49_0","49","DRAGON","0","Kingdom","-1052578015239"
