"id","entityA.id","entityA.type","entityB.id","entityB.type","since"
"0_5","0","Person","5","Person","-1327267552331"
"1_5","1","Person","5","Person","524018457750"
"2_5","2","Person","5","Person","-1862964562563"
"3_5","3","Person","5","Person","-1051851599515"
"4_5","4","Person","5","Person","442750359651"
"0_6","0","Person","6","Person","-1437036807887"
"1_6","1","Person","6","Person","-1899890462164"
"3_6","3","Person","6","Person","825454969529"
"2_6","2","Person","6","Person","-19012971090"
"5_6","5","Person","6","Person","-1221589467138"
"0_7","0","Person","7","Person","677959676643"
"2_7","2","Person","7","Person","188384126147"
"6_7","6","Person","7","Person","-57003914202"
"4_7","4","Person","7","Person","388789114194"
"5_7","5","Person","7","Person","-1982610342432"
"1_8","1","Person","8","Person","-1093723498392"
"3_8","3","Person","8","Person","-771327680003"
"6_8","6","Person","8","Person","300626353317"
"4_8","4","Person","8","Person","-343833671"
"5_8","5","Person","8","Person","-812547060312"
"0_9","0","Person","9","Person","-1291001519222"
"1_9","1","Person","9","Person","-570451872879"
"2_9","2","Person","9","Person","-1048540046561"
"6_9","6","Person","9","Person","-1036498944949"
"5_9","5","Person","9","Person","-1924803287411"
"1_10","1","Person","10","Person","-250356998185"
"3_10","3","Person","10","Person","338704629013"
"7_10","7","Person","10","Person","17493964959"
"6_10","6","Person","10","Person","178860311726"
"4_10","4","Person","10","Person","-58775956092"
"1_11","1","Person","11","Person","-351195561506"
"3_11","3","Person","11","Person","-1418574744939"
"7_11","7","Person","11","Person","-1258372396449"
"9_11","9","Person","11","Person","-1963046836437"
"5_11","5","Person","11","Person","-1691635341922"
"3_12","3","Person","12","Person","-449368423498"
"2_12","2","Person","12","Person","-1744584566665"
"6_12","6","Person","12","Person","-115858739276"
"11_12","11","Person","12","Person","-312931341574"
"10_12","10","Person","12","Person","-867804690679"
"12_13","12","Person","13","Person","-519217647822"
"7_13","7","Person","13","Person","-1934562602290"
"6_13","6","Person","13","Person","-1500021005987"
"11_13","11","Person","13","Person","-2011768948870"
"10_13","10","Person","13","Person","-355681927600"
"3_14","3","Person","14","Person","-550085788706"
"2_14","2","Person","14","Person","-279458373747"
"6_14","6","Person","14","Person","-383543017491"
"11_14","11","Person","14","Person","933500325978"
"10_14","10","Person","14","Person","207788015438"
"2_15","2","Person","15","Person","-1135685751481"
"9_15","9","Person","15","Person","522841443173"
"6_15","6","Person","15","Person","-678279905034"
"10_15","10","Person","15","Person","845817176725"
"5_15","5","Person","15","Person","803626211603"
"1_16","1","Person","16","Person","17143230889"
"13_16","13","Person","16","Person","39843004280"
"10_16","10","Person","16","Person","-1871486989026"
"4_16","4","Person","16","Person","-832407495939"
"5_16","5","Person","16","Person","-233396666256"
"16_17","16","Person","17","Person","632426394371"
"14_17","14","Person","17","Person","535837842828"
"3_17","3","Person","17","Person","-659532534197"
"13_17","13","Person","17","Person","-1936739315943"
"9_17","9","Person","17","Person","-1708679072838"
"15_18","15","Person","18","Person","38197931074"
"1_18","1","Person","18","Person","582719199806"
"12_18","12","Person","18","Person","-1575937020663"
"9_18","9","Person","18","Person","-932710548013"
"5_18","5","Person","18","Person","-2057003249728"
"15_19","15","Person","19","Person","-803467280058"
"1_19","1","Person","19","Person","-1160621975197"
"13_19","13","Person","19","Person","-286389188107"
"7_19","7","Person","19","Person","-1190114491547"
"10_19","10","Person","19","Person","-840278907057"
"15_20","15","Person","20","Person","-183333685262"
"14_20","14","Person","20","Person","-788692786931"
"13_20","13","Person","20","Person","-389860414693"
"8_20","8","Person","20","Person","-1948855275854"
"4_20","4","Person","20","Person","-1690599480242"
"16_21","16","Person","21","Person","95991459611"
"14_21","14","Person","21","Person","-1696316368453"
"3_21","3","Person","21","Person","-758056612435"
"13_21","13","Person","21","Person","-136648312630"
"7_21","7","Person","21","Person","65121405110"
"1_22","1","Person","22","Person","633034965677"
"13_22","13","Person","22","Person","-527949961008"
"7_22","7","Person","22","Person","-1546462900952"
"5_22","5","Person","22","Person","453864839290"
"10_22","10","Person","22","Person","-1313508134450"
"1_23","1","Person","23","Person","-848893167951"
"3_23","3","Person","23","Person","787772586799"
"4_23","4","Person","23","Person","-2122221196020"
"10_23","10","Person","23","Person","-1277784392879"
"5_23","5","Person","23","Person","-759875365651"
"14_24","14","Person","24","Person","-1098465097527"
"17_24","17","Person","24","Person","944785291840"
"2_24","2","Person","24","Person","-2110242335474"
"6_24","6","Person","24","Person","-1864119519205"
"5_24","5","Person","24","Person","66990972151"
"15_25","15","Person","25","Person","-2106697891409"
"3_25","3","Person","25","Person","-311538833399"
"18_25","18","Person","25","Person","-191975489670"
"7_25","7","Person","25","Person","-1581698322243"
"6_25","6","Person","25","Person","-1398969331192"
"15_26","15","Person","26","Person","-1116046208953"
"2_26","2","Person","26","Person","-620640696976"
"4_26","4","Person","26","Person","-1808573248400"
"6_26","6","Person","26","Person","-1687869099087"
"11_26","11","Person","26","Person","-2043600108979"
"15_27","15","Person","27","Person","365332030988"
"18_27","18","Person","27","Person","-588088598160"
"9_27","9","Person","27","Person","901105848856"
"11_27","11","Person","27","Person","-1230753634156"
"26_27","26","Person","27","Person","244436244873"
"15_28","15","Person","28","Person","-1899801365565"
"13_28","13","Person","28","Person","-1620672231959"
"7_28","7","Person","28","Person","-1757392460578"
"11_28","11","Person","28","Person","179761395006"
"5_28","5","Person","28","Person","-583159252989"
"15_29","15","Person","29","Person","-1247072865637"
"14_29","14","Person","29","Person","-1319239052354"
"2_29","2","Person","29","Person","-1609951648829"
"10_29","10","Person","29","Person","-906216602425"
"5_29","5","Person","29","Person","-2154526185751"
"29_30","29","Person","30","Person","844570666084"
"1_30","1","Person","30","Person","-500454783636"
"19_30","19","Person","30","Person","-773917032519"
"2_30","2","Person","30","Person","-410626890958"
"8_30","8","Person","30","Person","-1365853354164"
"12_31","12","Person","31","Person","-1150094554600"
"17_31","17","Person","31","Person","-1371064899540"
"13_31","13","Person","31","Person","660446220537"
"2_31","2","Person","31","Person","-1662580799608"
"10_31","10","Person","31","Person","-1600123292832"
"17_32","17","Person","32","Person","-865516042381"
"30_32","30","Person","32","Person","-1237165258003"
"12_32","12","Person","32","Person","-1945218161743"
"22_32","22","Person","32","Person","-2192495122443"
"27_32","27","Person","32","Person","-445639143203"
"30_33","30","Person","33","Person","-1112627189721"
"28_33","28","Person","33","Person","-649964116261"
"18_33","18","Person","33","Person","-1690891640269"
"6_33","6","Person","33","Person","143218920727"
"31_33","31","Person","33","Person","841921886225"
"12_34","12","Person","34","Person","-785165664897"
"2_34","2","Person","34","Person","-1534542377437"
"24_34","24","Person","34","Person","-1417257675913"
"20_34","20","Person","34","Person","-1213331858101"
"26_34","26","Person","34","Person","-1763464089836"
"16_35","16","Person","35","Person","-1071204379267"
"19_35","19","Person","35","Person","-785242151524"
"15_35","15","Person","35","Person","-348080567951"
"20_35","20","Person","35","Person","925483321570"
"5_35","5","Person","35","Person","-2190392200614"
"3_36","3","Person","36","Person","781882604101"
"18_36","18","Person","36","Person","263599821845"
"8_36","8","Person","36","Person","316805863138"
"6_36","6","Person","36","Person","-2143246000575"
"20_36","20","Person","36","Person","276378162758"
"0_37","0","Person","37","Person","-790838337115"
"16_37","16","Person","37","Person","-524935948390"
"18_37","18","Person","37","Person","-838012812570"
"20_37","20","Person","37","Person","-721042892854"
"5_37","5","Person","37","Person","517824909909"
"12_38","12","Person","38","Person","-1384755303217"
"2_38","2","Person","38","Person","-1928332750956"
"9_38","9","Person","38","Person","-1354400686618"
"21_38","21","Person","38","Person","-2114679051433"
"4_38","4","Person","38","Person","-1331889947409"
"17_39","17","Person","39","Person","-629482146530"
"1_39","1","Person","39","Person","-2136152418421"
"38_39","38","Person","39","Person","878173658885"
"26_39","26","Person","39","Person","-1209523704071"
"10_39","10","Person","39","Person","198365811913"
"0_40","0","Person","40","Person","-494076592138"
"14_40","14","Person","40","Person","-1770576330803"
"19_40","19","Person","40","Person","-2121883112173"
"18_40","18","Person","40","Person","-1863183746495"
"6_40","6","Person","40","Person","353931634142"
"17_41","17","Person","41","Person","-2037209839609"
"23_41","23","Person","41","Person","686391648735"
"40_41","40","Person","41","Person","66179751890"
"18_41","18","Person","41","Person","617395529318"
"25_41","25","Person","41","Person","-36482866320"
"16_42","16","Person","42","Person","81890849510"
"12_42","12","Person","42","Person","-1535374972903"
"18_42","18","Person","42","Person","-1723904949534"
"13_42","13","Person","42","Person","924160806826"
"26_42","26","Person","42","Person","107378209224"
"30_43","30","Person","43","Person","-124357948349"
"17_43","17","Person","43","Person","-2107992519974"
"13_43","13","Person","43","Person","884702035481"
"2_43","2","Person","43","Person","233691716532"
"5_43","5","Person","43","Person","-494587895603"
"1_44","1","Person","44","Person","357016243156"
"3_44","3","Person","44","Person","-698677958787"
"18_44","18","Person","44","Person","-2156995602375"
"20_44","20","Person","44","Person","-710547809524"
"10_44","10","Person","44","Person","309503454587"
"10_45","10","Person","45","Person","627737820578"
"8_45","8","Person","45","Person","-825041130205"
"6_45","6","Person","45","Person","-116125530091"
"31_45","31","Person","45","Person","-1752435871331"
"26_45","26","Person","45","Person","-2055894458570"
"31_46","31","Person","46","Person","-1966539393736"
"25_46","25","Person","46","Person","-1842446496181"
"6_46","6","Person","46","Person","-2176562763306"
"37_46","37","Person","46","Person","-238867387447"
"5_46","5","Person","46","Person","-1800696875700"
"32_47","32","Person","47","Person","-1245514137842"
"17_47","17","Person","47","Person","148442645686"
"23_47","23","Person","47","Person","-2118752917509"
"25_47","25","Person","47","Person","-932665070393"
"9_47","9","Person","47","Person","755899927641"
"39_48","39","Person","48","Person","343649714419"
"24_48","24","Person","48","Person","431483124298"
"6_48","6","Person","48","Person","-226445737748"
"47_48","47","Person","48","Person","-1936397383550"
"31_48","31","Person","48","Person","-2182563835365"
"28_49","28","Person","49","Person","30198261743"
"19_49","19","Person","49","Person","-841513270726"
"24_49","24","Person","49","Person","-1356358919236"
"25_49","25","Person","49","Person","-93306814203"
"4_49","4","Person","49","Person","-334670725318"
"17_50","17","Person","50","Person","389539993522"
"23_50","23","Person","50","Person","-1540965404759"
"13_50","13","Person","50","Person","793033087003"
"6_50","6","Person","50","Person","552425132503"
"20_50","20","Person","50","Person","-966414203937"
"45_51","45","Person","51","Person","-1233778243785"
"28_51","28","Person","51","Person","-2013969742295"
"6_51","6","Person","51","Person","-888939156275"
"4_51","4","Person","51","Person","-1856572121075"
"31_51","31","Person","51","Person","546804505719"
"15_52","15","Person","52","Person","276376865965"
"39_52","39","Person","52","Person","-1723754251847"
"7_52","7","Person","52","Person","-364793822586"
"6_52","6","Person","52","Person","924963393675"
"10_52","10","Person","52","Person","-787184518960"
"50_53","50","Person","53","Person","-232632234505"
"51_53","51","Person","53","Person","815651078863"
"19_53","19","Person","53","Person","-1289448994125"
"9_53","9","Person","53","Person","-1818523066582"
"15_53","15","Person","53","Person","698810943994"
"14_54","14","Person","54","Person","-1443108334514"
"6_54","6","Person","54","Person","-775544354257"
"43_54","43","Person","54","Person","-108630786354"
"26_54","26","Person","54","Person","-1050419120699"
"5_54","5","Person","54","Person","-465567951724"
"6_55","6","Person","55","Person","-1261544171628"
"8_55","8","Person","55","Person","-1993765162501"
"22_55","22","Person","55","Person","-132846927556"
"20_55","20","Person","55","Person","-1451365659313"
"26_55","26","Person","55","Person","460043749157"
"30_56","30","Person","56","Person","594153477522"
"12_56","12","Person","56","Person","-386934963702"
"18_56","18","Person","56","Person","-1620451427345"
"9_56","9","Person","56","Person","-599994629464"
"53_56","53","Person","56","Person","-1947551219516"
"50_57","50","Person","57","Person","-1221825512880"
"19_57","19","Person","57","Person","-2088052612902"
"38_57","38","Person","57","Person","6695602231"
"6_57","6","Person","57","Person","463753853312"
"37_57","37","Person","57","Person","386035152890"
"45_58","45","Person","58","Person","941286790692"
"25_58","25","Person","58","Person","559395606422"
"8_58","8","Person","58","Person","-1143746219873"
"6_58","6","Person","58","Person","920097806156"
"10_58","10","Person","58","Person","264629429649"
"32_59","32","Person","59","Person","-125154990075"
"30_59","30","Person","59","Person","595146705546"
"12_59","12","Person","59","Person","385785867598"
"2_59","2","Person","59","Person","-295244374457"
"6_59","6","Person","59","Person","-2073118246149"
"15_60","15","Person","60","Person","-1797022835165"
"28_60","28","Person","60","Person","-1077456201094"
"58_60","58","Person","60","Person","99427972251"
"4_60","4","Person","60","Person","-210626221166"
"16_60","16","Person","60","Person","171784274050"
"15_61","15","Person","61","Person","-960067412058"
"45_61","45","Person","61","Person","510913987011"
"12_61","12","Person","61","Person","-1860911701552"
"18_61","18","Person","61","Person","901614704303"
"5_61","5","Person","61","Person","-884808721242"
"1_62","1","Person","62","Person","-876515856040"
"14_62","14","Person","62","Person","-935499672917"
"12_62","12","Person","62","Person","-91102766159"
"7_62","7","Person","62","Person","455394718809"
"17_62","17","Person","62","Person","388456027276"
"17_63","17","Person","63","Person","643361305976"
"30_63","30","Person","63","Person","-1548714376066"
"33_63","33","Person","63","Person","-362426038068"
"4_63","4","Person","63","Person","-762069414582"
"52_63","52","Person","63","Person","21642133830"
"16_64","16","Person","64","Person","-208815041133"
"28_64","28","Person","64","Person","-469411517613"
"23_64","23","Person","64","Person","407884202461"
"6_64","6","Person","64","Person","817288458892"
"26_64","26","Person","64","Person","-2189485343491"
"41_65","41","Person","65","Person","-1736327448566"
"8_65","8","Person","65","Person","-1797971486779"
"6_65","6","Person","65","Person","490784819743"
"63_65","63","Person","65","Person","350355880738"
"52_65","52","Person","65","Person","-1401628124023"
"23_66","23","Person","66","Person","-1956285177880"
"53_66","53","Person","66","Person","255342993588"
"22_66","22","Person","66","Person","-1335779303152"
"6_66","6","Person","66","Person","897561875029"
"20_66","20","Person","66","Person","-1137020066673"
"14_67","14","Person","67","Person","-2095560965348"
"19_67","19","Person","67","Person","-1819192017637"
"18_67","18","Person","67","Person","133108360319"
"63_67","63","Person","67","Person","-1373480994537"
"4_67","4","Person","67","Person","-1849167065124"
"0_68","0","Person","68","Person","-48603869209"
"17_68","17","Person","68","Person","-1703331333383"
"40_68","40","Person","68","Person","-1686429434992"
"58_68","58","Person","68","Person","182967809070"
"63_68","63","Person","68","Person","-1156333659312"
