"id","entityA.id","entityA.type","entityB.id","entityB.type","since","until"
"88_880","88","DRAGON","880","Person","-86053230955","809437396964"
"88_153","88","DRAGON","153","Person","-237426827733","799994214473"
"88_860","88","DRAGON","860","Person","-1129415711958","-666519142647"
"88_79","88","DRAGON","79","Person","-343648874351","20957661604"
"88_936","88","DRAGON","936","Person","-758051849244","-514837321255"
"88_303","88","DRAGON","303","Person","-2109844914044","321162944974"
"88_649","88","DRAGON","649","Person","-2006974417651","-1647397460352"
"88_355","88","DRAGON","355","Person","-1363557995708","218973154295"
"89_404","89","DRAGON","404","Person","146561629044","194757929007"
"89_786","89","DRAGON","786","Person","-113722655158","317145631879"
"89_178","89","DRAGON","178","Person","-1574322742675","606735223541"
"89_813","89","DRAGON","813","Person","519836296128","936996679775"
"89_3","89","DRAGON","3","Person","504470265255","941591701794"
"89_328","89","DRAGON","328","Person","-1632076683539","81486215534"
"89_115","89","DRAGON","115","Person","-218376301892","324433411273"
"89_882","89","DRAGON","882","Person","-1866303727703","-1601233174979"
"89_954","89","DRAGON","954","Person","633897562355","936419448302"
"89_385","89","DRAGON","385","Person","-613499619609","556613773775"
"89_922","89","DRAGON","922","Person","-321846740269","213943626531"
"90_630","90","DRAGON","630","Person","-138954726511","475596275587"
"90_514","90","DRAGON","514","Person","34282194885","687202848301"
"90_535","90","DRAGON","535","Person","-1108893441945","465431198379"
"90_351","90","DRAGON","351","Person","207044527172","416673461748"
"90_518","90","DRAGON","518","Person","-1662345522385","-5331504474"
"90_486","90","DRAGON","486","Person","-1575505572314","-828581010358"
"90_242","90","DRAGON","242","Person","178483666608","443667816837"
"90_5","90","DRAGON","5","Person","-196846862592","-4253531961"
"90_802","90","DRAGON","802","Person","-1144551822088","412722428663"
"90_745","90","DRAGON","745","Person","-2072390553809","-2006602232835"
"91_438","91","DRAGON","438","Person","-2113649268618","-1240295256586"
"91_538","91","DRAGON","538","Person","789956623502","850620031050"
"91_780","91","DRAGON","780","Person","598605248478","887324839641"
"91_388","91","DRAGON","388","Person","-18899704203","845425694647"
"91_380","91","DRAGON","380","Person","-1091644704763","722222043084"
"91_794","91","DRAGON","794","Person","758304483420","826780112017"
"91_661","91","DRAGON","661","Person","893837642442","924940295814"
"91_726","91","DRAGON","726","Person","-1692300326740","-1357250518902"
"91_913","91","DRAGON","913","Person","-85210858906","-68453172355"
"91_512","91","DRAGON","512","Person","-1801188698629","-368861778787"
"91_911","91","DRAGON","911","Person","-2051961799056","-1779554305172"
"92_301","92","DRAGON","301","Person","156680309724","388654028604"
"92_166","92","DRAGON","166","Person","-287416806316","-191912018230"
"92_292","92","DRAGON","292","Person","-1042449716762","-697921321404"
"92_935","92","DRAGON","935","Person","-974054440039","-553092394779"
"92_758","92","DRAGON","758","Person","-844035251106","-233762045342"
"92_374","92","DRAGON","374","Person","-395832077171","646725436201"
"92_641","92","DRAGON","641","Person","-109095448135","452654962896"
"92_422","92","DRAGON","422","Person","96278579301","939976878687"
"92_0","92","DRAGON","0","Person","-2029526187011","-2029346908875"
"92_925","92","DRAGON","925","Person","439334731809","630412642711"
"92_614","92","DRAGON","614","Person","-1310640538335","695654329543"
"93_735","93","DRAGON","735","Person","-16781521192","392550950194"
"93_806","93","DRAGON","806","Person","464979709360","867095103312"
"93_608","93","DRAGON","608","Person","-545039336035","-254613928255"
"93_508","93","DRAGON","508","Person","-1506544844818","479539428938"
"93_803","93","DRAGON","803","Person","-952068202058","-802218918944"
"94_547","94","DRAGON","547","Person","478056400674","730402586387"
"94_397","94","DRAGON","397","Person","-1056679855172","-876089328093"
"94_419","94","DRAGON","419","Person","265625174775","466021053608"
"94_431","94","DRAGON","431","Person","163989775597","763391788514"
"94_656","94","DRAGON","656","Person","-501593386689","-367741207325"
"94_504","94","DRAGON","504","Person","709925996411","904319371684"
"94_953","94","DRAGON","953","Person","-1062189418090","-758151257617"
"94_989","94","DRAGON","989","Person","-1968631669809","496263789319"
"94_851","94","DRAGON","851","Person","641330471039","743897802341"
"94_807","94","DRAGON","807","Person","851894623196","889018827412"
"94_101","94","DRAGON","101","Person","-258557984293","365213544829"
"95_185","95","DRAGON","185","Person","312857499425","881378522606"
"95_129","95","DRAGON","129","Person","-1612494790925","-1188025543593"
"95_723","95","DRAGON","723","Person","375342341752","904340940567"
"95_834","95","DRAGON","834","Person","-533945633198","381894401355"
"95_846","95","DRAGON","846","Person","-2100185484367","-489592922035"
"95_534","95","DRAGON","534","Person","375978017162","648713841588"
"95_189","95","DRAGON","189","Person","-2139767969453","-1820936413837"
"95_660","95","DRAGON","660","Person","-2176786192248","-997283057967"
"96_26","96","DRAGON","26","Person","-1395270087386","-1028060694644"
"96_225","96","DRAGON","225","Person","-56868328163","837590289214"
"96_684","96","DRAGON","684","Person","85200221018","286117163063"
"96_777","96","DRAGON","777","Person","-2122973785385","-625688336475"
"96_999","96","DRAGON","999","Person","-1844088692583","-27400324003"
"96_760","96","DRAGON","760","Person","-1447692682645","512646963068"
"96_722","96","DRAGON","722","Person","142807165184","591830475627"
"96_403","96","DRAGON","403","Person","-1719295408372","-257838776212"
"96_914","96","DRAGON","914","Person","-1203162744344","-15600438781"
"96_18","96","DRAGON","18","Person","-728830228949","683082697834"
"96_720","96","DRAGON","720","Person","-1145922799333","892320175974"
"96_130","96","DRAGON","130","Person","143472006801","846664718623"
"96_162","96","DRAGON","162","Person","285582458177","342653885373"
"96_998","96","DRAGON","998","Person","-1583083489395","-1122948416426"
"97_744","97","DRAGON","744","Person","170419538381","490246934960"
"97_361","97","DRAGON","361","Person","-1971372064862","599111913892"
"97_686","97","DRAGON","686","Person","909602383995","943129214601"
"97_769","97","DRAGON","769","Person","-446566515127","391549147679"
"97_425","97","DRAGON","425","Person","-299731623501","-93776175398"
"97_881","97","DRAGON","881","Person","572219028501","734647915054"
"97_127","97","DRAGON","127","Person","-1116070015132","433043026155"
"97_569","97","DRAGON","569","Person","-346684358054","813490761863"
"97_73","97","DRAGON","73","Person","-843648678592","597801953133"
"97_464","97","DRAGON","464","Person","-1132968832361","-259125848531"
"97_291","97","DRAGON","291","Person","-837077650536","-220623566148"
"10_996","10","DRAGON","996","Person","107384055330","586892998332"
"10_657","10","DRAGON","657","Person","-2150534071157","-722478791621"
"10_317","10","DRAGON","317","Person","-2024504290653","-511423745156"
"10_542","10","DRAGON","542","Person","416823693226","796437184693"
"10_946","10","DRAGON","946","Person","-426670140030","-323451034736"
"10_838","10","DRAGON","838","Person","650963456718","763787160223"
"10_367","10","DRAGON","367","Person","-526835363844","520869911007"
"10_651","10","DRAGON","651","Person","-133865318897","247423018660"
"10_642","10","DRAGON","642","Person","-418797418861","626852535500"
"98_78","98","DRAGON","78","Person","-1871446743235","848407709593"
"98_483","98","DRAGON","483","Person","-1585646696534","-447517146724"
"98_747","98","DRAGON","747","Person","-611306074279","310178780623"
"98_567","98","DRAGON","567","Person","824781349082","854433658441"
"98_652","98","DRAGON","652","Person","562603054156","681534654615"
"98_181","98","DRAGON","181","Person","-331715085909","414877630536"
"98_907","98","DRAGON","907","Person","-1465549416278","427229024163"
"98_571","98","DRAGON","571","Person","-1895513448324","-1321642402762"
"98_150","98","DRAGON","150","Person","-99360665094","115730903624"
"98_213","98","DRAGON","213","Person","-1255040944580","-873352649804"
"98_390","98","DRAGON","390","Person","430017754944","482871020403"
"98_307","98","DRAGON","307","Person","-878248334418","-491121956760"
"11_52","11","DRAGON","52","Person","-1732529665116","-308855623092"
"11_750","11","DRAGON","750","Person","446172540391","519017330363"
"11_617","11","DRAGON","617","Person","163328336827","499799022420"
"11_680","11","DRAGON","680","Person","590986281925","919241299449"
"11_923","11","DRAGON","923","Person","-6060286476","362400338172"
"11_872","11","DRAGON","872","Person","718643213091","814818808955"
"11_690","11","DRAGON","690","Person","-1784745046050","651942273640"
"11_640","11","DRAGON","640","Person","-1356844608612","-678720732126"
"11_583","11","DRAGON","583","Person","-96651170601","495217450454"
"99_949","99","DRAGON","949","Person","-1041499584145","253481869967"
"99_957","99","DRAGON","957","Person","-307079926926","500928720645"
"99_822","99","DRAGON","822","Person","-520629917243","279460627416"
"99_511","99","DRAGON","511","Person","-1659011038076","562838819420"
"99_465","99","DRAGON","465","Person","-2165682947747","49652722255"
"99_762","99","DRAGON","762","Person","-568052144203","-124851960048"
"99_140","99","DRAGON","140","Person","-850002847127","106676468196"
"99_515","99","DRAGON","515","Person","-474573844642","666388295404"
"99_995","99","DRAGON","995","Person","-1733893185834","-1452213334669"
"99_322","99","DRAGON","322","Person","319995515164","473625963106"
"12_692","12","DRAGON","692","Person","361261284561","937597838412"
"12_347","12","DRAGON","347","Person","-1195624480473","-988703565160"
"12_708","12","DRAGON","708","Person","-2030018368648","-81204869594"
"12_825","12","DRAGON","825","Person","613873227890","793526896508"
"12_65","12","DRAGON","65","Person","-371259271902","-190599362913"
"12_937","12","DRAGON","937","Person","894405045666","941036078174"
"12_531","12","DRAGON","531","Person","641054128987","758704555091"
"12_902","12","DRAGON","902","Person","-769101708728","915396075556"
"13_49","13","DRAGON","49","Person","-1753020260500","216990167230"
"13_103","13","DRAGON","103","Person","-1092376995559","-931337075618"
"13_616","13","DRAGON","616","Person","683392752285","888832920133"
"13_469","13","DRAGON","469","Person","914574459801","934268127007"
"13_426","13","DRAGON","426","Person","-1970181536725","-1744968677977"
"13_305","13","DRAGON","305","Person","112756407388","798417849991"
"13_23","13","DRAGON","23","Person","-878441325619","874587842777"
"14_417","14","DRAGON","417","Person","358019682289","473975058843"
"14_755","14","DRAGON","755","Person","-563770542395","364664018912"
