"id","entityA.id","entityA.type","entityB.id","entityB.type","from","to"
"0_3_2","0","Dragon","3","Dragon","-1650580815986","-1650578055986","261"
"0_3_4","0","Dragon","3","Dragon","-2203001807816","-2202995987816","269"
"0_3_5","0","Dragon","3","Dragon","-665365267675","-665364727675","139"
"1_3_1","1","Dragon","3","Dragon","-742720826314","-742720646314","512"
"1_3_2","1","Dragon","3","Dragon","728418216375","728419836375","617"
"0_4_1","0","Dragon","4","Dragon","-544386649767","-544380649767","369"
"3_4_2","3","Dragon","4","Dragon","-844302241500","-844300801500","415"
"2_4_0","2","Dragon","4","Dragon","99673109955","99678089955","276"
"2_4_1","2","Dragon","4","Dragon","-166493259637","-166488819637","211"
"0_5_0","0","Dragon","5","Dragon","-1649860189292","-1649855989292","441"
"0_5_2","0","Dragon","5","Dragon","-707562408059","-707559288059","245"
"0_5_4","0","Dragon","5","Dragon","172990246747","172993906747","287"
"1_5_2","1","Dragon","5","Dragon","-550636288990","-550635028990","162"
"1_5_4","1","Dragon","5","Dragon","-1730721327347","-1730717187347","631"
"1_5_5","1","Dragon","5","Dragon","-526263092001","-526262372001","198"
"1_5_6","1","Dragon","5","Dragon","243604870365","243605890365","479"
"3_5_4","3","Dragon","5","Dragon","260898501951","260900901951","347"
"5_6_1","5","Dragon","6","Dragon","-1136243090217","-1136241350217","383"
"5_6_4","5","Dragon","6","Dragon","599020305278","599025525278","344"
"4_6_1","4","Dragon","6","Dragon","-902345552451","-902341712451","339"
"2_6_3","2","Dragon","6","Dragon","-1141144014410","-1141141914410","672"
"2_6_4","2","Dragon","6","Dragon","-528794579004","-528791339004","344"
"2_6_5","2","Dragon","6","Dragon","-48332764791","-48327724791","104"
"4_7_1","4","Dragon","7","Dragon","-1117986462707","-1117982442707","311"
"4_7_3","4","Dragon","7","Dragon","450284846969","450287606969","110"
"5_7_1","5","Dragon","7","Dragon","-1164185300189","-1164180980189","239"
"5_7_2","5","Dragon","7","Dragon","-1841180411359","-1841176571359","555"
"5_7_3","5","Dragon","7","Dragon","-181515633203","-181514613203","458"
"1_8_1","1","Dragon","8","Dragon","22115945356","22117445356","120"
"1_8_5","1","Dragon","8","Dragon","-1514815448424","-1514813828424","467"
"1_8_6","1","Dragon","8","Dragon","507366864159","507371964159","598"
"2_8_1","2","Dragon","8","Dragon","-942350414277","-942346934277","505"
"2_8_3","2","Dragon","8","Dragon","887569850453","887572490453","211"
"2_8_5","2","Dragon","8","Dragon","-2202167342963","-2202161582963","527"
"2_8_6","2","Dragon","8","Dragon","-1257747179995","-1257743699995","606"
"2_8_7","2","Dragon","8","Dragon","-1552975534834","-1552973974834","294"
"6_9_0","6","Dragon","9","Dragon","-1766006218755","-1766004058755","211"
"5_9_2","5","Dragon","9","Dragon","-753076309404","-753070429404","527"
"2_9_2","2","Dragon","9","Dragon","162896298850","162896598850","298"
"2_10_6","2","Dragon","10","Dragon","-538394099683","-538393619683","451"
"5_10_2","5","Dragon","10","Dragon","-1563395834487","-1563392654487","496"
"5_10_4","5","Dragon","10","Dragon","-2056002820516","-2055998800516","244"
"6_11_5","6","Dragon","11","Dragon","-1519492766224","-1519491686224","297"
"4_12_0","4","Dragon","12","Dragon","-684311553159","-684309993159","597"
"4_12_1","4","Dragon","12","Dragon","-851005148340","-851004308340","485"
"4_12_5","4","Dragon","12","Dragon","-102618014187","-102612374187","412"
"4_12_6","4","Dragon","12","Dragon","942871709362","942871949362","246"
"3_12_2","3","Dragon","12","Dragon","342237930207","342243510207","563"
"2_12_2","2","Dragon","12","Dragon","487313614006","487317094006","480"
"2_12_5","2","Dragon","12","Dragon","-1228631090409","-1228626890409","174"
"2_12_7","2","Dragon","12","Dragon","-1983742721998","-1983739661998","551"
"0_13_0","0","Dragon","13","Dragon","522391199781","522391859781","205"
"0_13_2","0","Dragon","13","Dragon","315207675923","315208515923","234"
"0_13_3","0","Dragon","13","Dragon","276994796028","276998216028","328"
