"id","entityA.id","entityA.type","entityB.id","entityB.type","since","until"
"0_0","0","Person","0","Guild","274330200973","693596473810"
"0_1","0","Person","1","Guild","-220593593662","-22314327623"
"0_2","0","Person","2","Guild","-1161778542499","118703013470"
"0_3","0","Person","3","Guild","221521249425","302978838099"
"0_4","0","Person","4","Guild","-1530216753349","660208105917"
"0_5","0","Person","5","Guild","-697424704914","754372279872"
"0_86","0","Person","86","Guild","907121790922","926118288422"
"0_83","0","Person","83","Guild","-1754421438372","751361875795"
"0_48","0","Person","48","Guild","439066656650","626683624325"
"0_73","0","Person","73","Guild","-520039787809","-110757301215"
"0_9","0","Person","9","Guild","-1729031487097","-504675361242"
"0_67","0","Person","67","Guild","-988663610325","-256789763791"
"0_95","0","Person","95","Guild","93500422737","476476306772"
"0_37","0","Person","37","Guild","-1219214093552","-1124503935224"
"0_96","0","Person","96","Guild","-1324756395117","577249598985"
"0_71","0","Person","71","Guild","-1836254918141","-852982353807"
"0_32","0","Person","32","Guild","229171960252","556371627819"
"0_84","0","Person","84","Guild","-2099542456337","284862733036"
"0_46","0","Person","46","Guild","214138381061","354745287120"
"0_64","0","Person","64","Guild","-560949713457","-467438511394"
"0_66","0","Person","66","Guild","-487564642325","-385366393834"
"0_65","0","Person","65","Guild","203278095635","426297880061"
"0_10","0","Person","10","Guild","-186823136882","-21078582723"
"0_61","0","Person","61","Guild","-452370231580","-57502192367"
"0_24","0","Person","24","Guild","-1053232038890","-837314020781"
"0_98","0","Person","98","Guild","473666314057","833796521520"
"0_57","0","Person","57","Guild","32566509042","540575889914"
"0_43","0","Person","43","Guild","-1055209311477","-702937961351"
"0_16","0","Person","16","Guild","-637990358701","524804745485"
"0_25","0","Person","25","Guild","-773739503869","-655079239340"
"0_35","0","Person","35","Guild","-834768375695","-581653260024"
"0_12","0","Person","12","Guild","-769922801906","492899037120"
"0_51","0","Person","51","Guild","-716533890124","881215698101"
"0_27","0","Person","27","Guild","-711242129575","852720724996"
"0_94","0","Person","94","Guild","361622393107","641087460617"
"0_85","0","Person","85","Guild","-1037064037248","-427770170880"
"0_60","0","Person","60","Guild","-1650152331758","-220044752688"
"0_97","0","Person","97","Guild","-268321194385","850684437787"
"0_68","0","Person","68","Guild","-1737314767594","-674502822696"
"0_31","0","Person","31","Guild","-1401071483342","733594511363"
"0_11","0","Person","11","Guild","-1727391461875","237315847283"
"0_58","0","Person","58","Guild","314085786541","480673407167"
"0_89","0","Person","89","Guild","-498073183164","86147023652"
"0_91","0","Person","91","Guild","271094747550","376145253547"
"0_79","0","Person","79","Guild","-905266506532","314053643594"
"0_93","0","Person","93","Guild","-1863338071811","-1275335857783"
"0_7","0","Person","7","Guild","-1341582740560","-1012783298357"
"0_49","0","Person","49","Guild","-178889707913","245087459166"
"0_56","0","Person","56","Guild","-1001136042336","359000250130"
"11_92","11","Person","92","Guild","-1055909925249","105850649129"
"11_93","11","Person","93","Guild","-1749856760589","-996342799763"
"11_94","11","Person","94","Guild","817012703758","893592844951"
"11_95","11","Person","95","Guild","-1148325128777","854447737395"
"11_96","11","Person","96","Guild","-1036172373256","816407722062"
"11_97","11","Person","97","Guild","-873525189320","-205054116552"
"11_75","11","Person","75","Guild","-1313950685298","-291945380618"
"11_1","11","Person","1","Guild","777813337518","945590251583"
"11_22","11","Person","22","Guild","-1882012602978","139933669795"
"11_33","11","Person","33","Guild","-2039695861966","766573738164"
"11_53","11","Person","53","Guild","440742019060","470306167330"
"11_14","11","Person","14","Guild","-1386136913261","-436393013626"
"11_42","11","Person","42","Guild","-1906276542649","-1604630755072"
"11_17","11","Person","17","Guild","-1926157561581","-548670518461"
"11_10","11","Person","10","Guild","662546298935","818196520901"
"11_31","11","Person","31","Guild","155822854425","270506862178"
"11_76","11","Person","76","Guild","-791608317041","-164476425748"
"11_89","11","Person","89","Guild","695253357166","861909963346"
"11_5","11","Person","5","Guild","-1028002307405","-508955473652"
"11_98","11","Person","98","Guild","-1885387286059","-234747696326"
"11_18","11","Person","18","Guild","612835900033","876486698000"
"11_26","11","Person","26","Guild","-1825616348567","230722991754"
"11_61","11","Person","61","Guild","-908743874489","-57998095798"
"11_55","11","Person","55","Guild","-1124342008579","566985296891"
"11_2","11","Person","2","Guild","-562055480204","770836949894"
"11_34","11","Person","34","Guild","289843791978","701599568385"
"11_84","11","Person","84","Guild","34319477723","171573261176"
"11_29","11","Person","29","Guild","-242292741979","-172788984974"
"11_57","11","Person","57","Guild","-102528065884","216424255769"
"11_66","11","Person","66","Guild","-1311408369770","-43711367355"
"11_69","11","Person","69","Guild","-272446113430","766833053093"
"11_77","11","Person","77","Guild","284219151449","515873270536"
"11_28","11","Person","28","Guild","-907857479148","205665121660"
"11_52","11","Person","52","Guild","-1020137174014","-162834108003"
"11_62","11","Person","62","Guild","728820058439","893662826644"
"11_88","11","Person","88","Guild","519485351775","641983507477"
"11_79","11","Person","79","Guild","-2143114186674","-1122041757596"
"11_73","11","Person","73","Guild","193889235645","917774975893"
