"id","entityA.id","entityA.type","entityB.id","entityB.type","since"
"0_0","0","HORSE","0","Kingdom","-269516979650"
"1_0","1","HORSE","0","Kingdom","-1532637423947"
"2_0","2","HORSE","0","Kingdom","-1164571409142"
"3_0","3","HORSE","0","Kingdom","-1206359992194"
"4_0","4","HORSE","0","Kingdom","-1968217706724"
"5_0","5","HORSE","0","Kingdom","-169948295925"
"6_0","6","HORSE","0","Kingdom","-1722620014785"
"7_0","7","HORSE","0","Kingdom","-1535816431826"
"8_0","8","HORSE","0","Kingdom","448357075773"
"9_0","9","HORSE","0","Kingdom","-991417156044"
"10_0","10","HORSE","0","Kingdom","42078307057"
"11_0","11","HORSE","0","Kingdom","-462146585959"
"12_0","12","HORSE","0","Kingdom","515863357661"
"13_0","13","HORSE","0","Kingdom","-1571801754618"
"14_0","14","HORSE","0","Kingdom","-101283159905"
"15_0","15","HORSE","0","Kingdom","-973812338749"
"16_0","16","HORSE","0","Kingdom","346412494087"
"17_0","17","HORSE","0","Kingdom","-1933200584404"
"18_0","18","HORSE","0","Kingdom","-1549994433366"
"19_0","19","HORSE","0","Kingdom","-45973152675"
"20_0","20","HORSE","0","Kingdom","-1676522131853"
"21_0","21","HORSE","0","Kingdom","-1924977769227"
"22_0","22","HORSE","0","Kingdom","-119164958442"
"23_0","23","HORSE","0","Kingdom","-1547621851763"
"24_0","24","HORSE","0","Kingdom","-1710658971454"
"25_0","25","HORSE","0","Kingdom","-1005658027129"
"26_0","26","HORSE","0","Kingdom","-1260580457207"
"27_0","27","HORSE","0","Kingdom","327774287218"
"28_0","28","HORSE","0","Kingdom","-689123813632"
"29_0","29","HORSE","0","Kingdom","-500250826467"
"30_1","30","HORSE","1","Kingdom","-644562319224"
"31_1","31","HORSE","1","Kingdom","862298912631"
"32_1","32","HORSE","1","Kingdom","-1828816275473"
"33_1","33","HORSE","1","Kingdom","-492132232101"
"34_1","34","HORSE","1","Kingdom","-2186104566230"
"35_1","35","HORSE","1","Kingdom","-471525574441"
"36_1","36","HORSE","1","Kingdom","-180476184230"
"37_1","37","HORSE","1","Kingdom","-623562242980"
"38_1","38","HORSE","1","Kingdom","566064878448"
"39_1","39","HORSE","1","Kingdom","-465097454506"
"40_1","40","HORSE","1","Kingdom","-387530319263"
"41_1","41","HORSE","1","Kingdom","926440804013"
"42_1","42","HORSE","1","Kingdom","146370890428"
"43_1","43","HORSE","1","Kingdom","-1750419285561"
"44_1","44","HORSE","1","Kingdom","-1432124721295"
"45_1","45","HORSE","1","Kingdom","-1283265981908"
"46_1","46","HORSE","1","Kingdom","642121327677"
"47_1","47","HORSE","1","Kingdom","415517628267"
"48_1","48","HORSE","1","Kingdom","-1481130271796"
"49_1","49","HORSE","1","Kingdom","-9937742928"
"50_1","50","HORSE","1","Kingdom","-1175889216799"
"51_1","51","HORSE","1","Kingdom","-568508041700"
"52_1","52","HORSE","1","Kingdom","-1677467481363"
"53_1","53","HORSE","1","Kingdom","103529194813"
"54_1","54","HORSE","1","Kingdom","-369470135127"
"55_1","55","HORSE","1","Kingdom","444897894513"
"56_1","56","HORSE","1","Kingdom","151611354457"
"57_1","57","HORSE","1","Kingdom","-1405506521404"
"58_1","58","HORSE","1","Kingdom","308202379811"
"59_1","59","HORSE","1","Kingdom","-1995718575525"
"60_1","60","HORSE","1","Kingdom","-489273790643"
"61_1","61","HORSE","1","Kingdom","-369934935338"
"62_1","62","HORSE","1","Kingdom","-1078066553341"
"63_1","63","HORSE","1","Kingdom","-1822814493702"
"64_1","64","HORSE","1","Kingdom","243039290962"
"65_1","65","HORSE","1","Kingdom","587827928925"
"66_2","66","HORSE","2","Kingdom","765506332861"
"67_2","67","HORSE","2","Kingdom","-805175487490"
"68_2","68","HORSE","2","Kingdom","643506459616"
"69_2","69","HORSE","2","Kingdom","-959881385216"
"70_2","70","HORSE","2","Kingdom","-889858933721"
"71_2","71","HORSE","2","Kingdom","21223587722"
"72_2","72","HORSE","2","Kingdom","-2124814560190"
"73_2","73","HORSE","2","Kingdom","-1871280423199"
"74_2","74","HORSE","2","Kingdom","727133575007"
"75_2","75","HORSE","2","Kingdom","287390546074"
"76_2","76","HORSE","2","Kingdom","-1040012049180"
"77_2","77","HORSE","2","Kingdom","-136016343655"
"78_2","78","HORSE","2","Kingdom","917293525074"
"79_2","79","HORSE","2","Kingdom","459419867698"
"80_2","80","HORSE","2","Kingdom","-133136097247"
"81_2","81","HORSE","2","Kingdom","326950624235"
"82_2","82","HORSE","2","Kingdom","380774223911"
"83_2","83","HORSE","2","Kingdom","-1493173412446"
"84_2","84","HORSE","2","Kingdom","-776912330698"
"85_2","85","HORSE","2","Kingdom","-1547185491811"
"86_2","86","HORSE","2","Kingdom","359885734057"
"87_2","87","HORSE","2","Kingdom","-47272560535"
"88_2","88","HORSE","2","Kingdom","819547392220"
