"id","entityA.id","entityA.type","entityB.id","entityB.type","startDate"
"0_0","0","Person","0","Kingdom","-1351800019185"
"1_0","1","Person","0","Kingdom","-646860877349"
"2_0","2","Person","0","Kingdom","-1072783830550"
"3_0","3","Person","0","Kingdom","-553534615732"
"4_0","4","Person","0","Kingdom","-402336235170"
"5_0","5","Person","0","Kingdom","-1663619780745"
"6_0","6","Person","0","Kingdom","506952138764"
"7_0","7","Person","0","Kingdom","829455538159"
"8_0","8","Person","0","Kingdom","-1791212241967"
"9_0","9","Person","0","Kingdom","528630248479"
"10_1","10","Person","1","Kingdom","-157718836494"
"11_1","11","Person","1","Kingdom","-665653541692"
"12_1","12","Person","1","Kingdom","-556053134721"
"13_1","13","Person","1","Kingdom","468869857568"
"14_1","14","Person","1","Kingdom","-453285019192"
"15_1","15","Person","1","Kingdom","319614562380"
"16_2","16","Person","2","Kingdom","-1742393939472"
"17_2","17","Person","2","Kingdom","-1857423734788"
"18_2","18","Person","2","Kingdom","-711153075070"
"19_2","19","Person","2","Kingdom","-2201985811714"
"20_2","20","Person","2","Kingdom","-20159490711"
"21_2","21","Person","2","Kingdom","-1397486760123"
"22_2","22","Person","2","Kingdom","-227212877315"
"23_2","23","Person","2","Kingdom","-1144497562348"
"24_2","24","Person","2","Kingdom","-1488402407954"
"25_2","25","Person","2","Kingdom","-1324602849614"
"26_2","26","Person","2","Kingdom","-525661168748"
"27_2","27","Person","2","Kingdom","267936343676"
"28_3","28","Person","3","Kingdom","-1717744332259"
"29_3","29","Person","3","Kingdom","-1594311569885"
"30_3","30","Person","3","Kingdom","-419427495302"
"31_3","31","Person","3","Kingdom","-1752392947260"
"32_3","32","Person","3","Kingdom","356509741498"
"33_3","33","Person","3","Kingdom","-1132894191596"
"34_3","34","Person","3","Kingdom","-271373661466"
"35_3","35","Person","3","Kingdom","608710956412"
"36_3","36","Person","3","Kingdom","-819058311066"
"37_3","37","Person","3","Kingdom","11314666537"
"38_3","38","Person","3","Kingdom","-1021902990936"
"39_3","39","Person","3","Kingdom","433061605812"
"40_3","40","Person","3","Kingdom","513341474353"
"41_4","41","Person","4","Kingdom","-1248770475307"
"42_4","42","Person","4","Kingdom","-1886299891111"
"43_4","43","Person","4","Kingdom","-579389857932"
"44_4","44","Person","4","Kingdom","-1007696382085"
"45_4","45","Person","4","Kingdom","-1563275046098"
"46_4","46","Person","4","Kingdom","942721978924"
"47_4","47","Person","4","Kingdom","-1305202607992"
"48_4","48","Person","4","Kingdom","-1793397660508"
"49_4","49","Person","4","Kingdom","-1955794666926"
"50_4","50","Person","4","Kingdom","117555437069"
"51_4","51","Person","4","Kingdom","-366920499925"
"52_4","52","Person","4","Kingdom","-1707587180551"
"53_4","53","Person","4","Kingdom","-1598423428582"
"54_4","54","Person","4","Kingdom","-1587167002287"
"55_5","55","Person","5","Kingdom","-291784066188"
"56_5","56","Person","5","Kingdom","-1448710612555"
"57_5","57","Person","5","Kingdom","759277146896"
"58_5","58","Person","5","Kingdom","872165655594"
"59_5","59","Person","5","Kingdom","-1649786062445"
"60_5","60","Person","5","Kingdom","-97536931075"
"61_5","61","Person","5","Kingdom","-1237419293376"
"62_5","62","Person","5","Kingdom","-2185176047304"
"63_5","63","Person","5","Kingdom","521051207907"
"64_5","64","Person","5","Kingdom","207044407979"
"65_5","65","Person","5","Kingdom","849962910858"
"66_5","66","Person","5","Kingdom","-1313878030944"
"67_5","67","Person","5","Kingdom","-1226655523863"
"68_5","68","Person","5","Kingdom","-1075400200505"
"69_6","69","Person","6","Kingdom","903378362724"
"70_6","70","Person","6","Kingdom","-112208311871"
"71_6","71","Person","6","Kingdom","-760534568104"
"72_6","72","Person","6","Kingdom","616447835760"
"73_6","73","Person","6","Kingdom","-648988578344"
"74_6","74","Person","6","Kingdom","168798335649"
"75_6","75","Person","6","Kingdom","-1320610014404"
"76_6","76","Person","6","Kingdom","-1997157748790"
"77_7","77","Person","7","Kingdom","-822152838034"
"78_7","78","Person","7","Kingdom","-199057552855"
"79_7","79","Person","7","Kingdom","-36282305377"
"80_7","80","Person","7","Kingdom","609029237492"
"81_7","81","Person","7","Kingdom","441762089181"
"82_7","82","Person","7","Kingdom","-822443092011"
"83_7","83","Person","7","Kingdom","-1864202590684"
"84_7","84","Person","7","Kingdom","-1631426085689"
"85_7","85","Person","7","Kingdom","-988811922982"
"86_7","86","Person","7","Kingdom","275675063770"
"87_7","87","Person","7","Kingdom","-203373388790"
"88_7","88","Person","7","Kingdom","391893575583"
"89_7","89","Person","7","Kingdom","-232889848444"
"90_7","90","Person","7","Kingdom","-169637331357"
"91_7","91","Person","7","Kingdom","529237385966"
"92_7","92","Person","7","Kingdom","-1697080902226"
"93_7","93","Person","7","Kingdom","800950261571"
"94_7","94","Person","7","Kingdom","-137159766630"
"95_7","95","Person","7","Kingdom","-2157784820003"
"96_7","96","Person","7","Kingdom","-1985646789511"
"97_7","97","Person","7","Kingdom","793609643035"
"98_7","98","Person","7","Kingdom","615506560284"
"99_7","99","Person","7","Kingdom","-122819063423"
