tconst	averageRating	numVotes
tt0000001	5.6	1665
tt0000002	6.1	206
tt0000003	6.5	1382
tt0000004	6.2	123
tt0000005	6.2	2168
tt0000006	5.3	118
tt0000007	5.4	665
tt0000008	5.4	1834
tt0000009	6.0	154
tt0000010	6.9	6104
tt0000011	5.2	268
tt0000012	7.4	10480
tt0000013	5.7	1589
tt0000014	7.1	4680
tt0000015	6.1	836
tt0000016	5.9	1215
tt0000017	4.6	244
tt0000018	5.3	482
tt0000019	5.3	20
tt0000020	5.0	271
tt0000022	5.1	900
tt0000023	5.7	1156
tt0000024	4.4	55
tt0000025	4.2	29
tt0000026	5.7	1322
tt0000027	5.6	936
tt0000028	5.1	865
tt0000029	6.0	2893
tt0000030	5.2	693
tt0000031	5.5	846
tt0000032	5.1	344
tt0000033	5.6	865
tt0000034	5.2	137
tt0000035	5.6	58
tt0000036	4.4	498
tt0000037	4.6	42
tt0000038	4.1	151
tt0000039	3.7	15
tt0000040	4.3	39
tt0000041	6.7	1479
tt0000042	4.7	23
tt0000043	3.9	14
tt0000044	4.8	29
tt0000045	4.8	18
tt0000046	4.5	18
tt0000047	3.8	17
tt0000048	4.8	133
tt0000049	5.4	25
tt0000050	4.4	15
tt0000051	4.1	16
tt0000052	4.5	64
tt0000053	2.8	9
tt0000054	5.4	20
tt0000055	3.9	17
tt0000056	3.5	12
tt0000057	4.6	16
tt0000058	4.5	15
tt0000059	3.9	15
tt0000060	7.6	62
tt0000061	4.1	14
tt0000062	6.5	159
tt0000063	3.9	14
tt0000064	3.6	14
tt0000065	3.7	14
tt0000066	3.6	14
tt0000067	5.9	42
tt0000068	4.0	13
tt0000069	4.8	355
tt0000070	6.4	2296
tt0000071	3.9	16
tt0000072	4.5	15
tt0000073	3.9	13
tt0000074	4.7	17
tt0000075	6.3	1592
tt0000076	4.5	439
tt0000077	5.1	19
tt0000078	4.2	50
tt0000079	4.6	18
tt0000080	4.3	14
tt0000081	4.4	15
tt0000082	4.8	25
tt0000083	4.9	19
tt0000084	4.7	16
tt0000085	5.0	17
tt0000086	4.4	15
tt0000087	4.9	19
tt0000088	4.9	16
tt0000089	6.2	839
tt0000090	4.3	15
tt0000091	6.7	2869
tt0000092	4.9	13
tt0000093	4.9	67
tt0000094	4.5	15
tt0000095	5.0	21
tt0000096	4.8	12
tt0000097	5.2	18
tt0000098	5.7	20
tt0000099	4.9	15
tt0000100	5.1	33
tt0000101	5.0	13
tt0000102	5.0	14
tt0000103	6.0	16
tt0000104	5.5	392
tt0000105	5.7	14
tt0000106	5.0	12
tt0000107	5.8	14
tt0000108	4.4	450
tt0000109	4.5	442
tt0000110	4.4	445
tt0000111	4.5	454
tt0000112	4.5	443
tt0000113	4.4	457
tt0000114	5.7	15
tt0000115	5.4	17
tt0000116	5.8	15
tt0000117	5.1	125
tt0000118	5.8	16
tt0000119	5.8	29
tt0000120	5.6	30
tt0000121	4.5	51
tt0000122	5.7	15
tt0000123	5.8	77
tt0000124	5.9	16
tt0000125	5.0	8
tt0000126	6.0	17
tt0000127	4.9	15
tt0000128	6.0	25
tt0000129	6.8	36
tt0000130	5.8	16
tt0000131	5.8	1108
tt0000132	5.1	881
tt0000133	6.6	23
tt0000134	4.6	8
tt0000135	6.7	52
tt0000137	4.8	13
tt0000138	6.5	880
tt0000139	5.4	16
tt0000140	5.0	227
tt0000141	5.3	63
tt0000142	5.0	11
tt0000143	4.9	201
tt0000144	5.2	231
tt0000145	3.9	7
tt0000146	5.1	14
tt0000147	5.2	359
tt0000148	3.6	7
tt0000149	5.1	11
tt0000150	5.2	114
tt0000151	5.2	33
tt0000152	6.1	182
tt0000153	5.7	347
tt0000154	4.6	8
tt0000155	5.2	14
tt0000156	4.6	12
tt0000157	4.1	8
tt0000158	3.5	8
tt0000159	5.3	71
tt0000160	5.2	9
tt0000161	3.9	8
tt0000162	5.3	400
tt0000163	4.5	6
tt0000164	5.0	232
tt0000165	5.0	93
tt0000166	4.1	7
tt0000167	4.1	104
tt0000168	3.4	7
tt0000169	3.8	21
tt0000170	5.2	189
tt0000171	4.3	6
tt0000172	6.1	693
tt0000173	4.7	18
tt0000174	4.7	105
tt0000175	5.0	169
tt0000176	5.1	7
tt0000177	4.6	192
tt0000178	5.1	108
tt0000179	4.6	24
tt0000181	6.7	37
tt0000182	4.9	470
tt0000183	6.2	18
tt0000184	4.8	265
tt0000186	4.2	12
tt0000187	5.3	36
tt0000188	4.6	7
tt0000190	5.1	116
tt0000192	4.5	139
tt0000194	5.5	66
tt0000196	5.2	20
tt0000197	4.7	11
tt0000198	5.0	10
tt0000199	4.9	7
tt0000204	5.7	7
tt0000205	5.3	20
tt0000206	5.0	7
tt0000207	5.9	7
tt0000208	5.7	471
tt0000209	4.9	17
tt0000210	5.3	18
tt0000211	7.5	3422
tt0000213	4.5	187
tt0000214	4.6	61
tt0000215	4.1	101
tt0000218	5.9	505
tt0000219	6.7	23
tt0000222	4.6	187
tt0000223	5.4	11
tt0000225	5.1	18
tt0000228	4.8	220
tt0000229	4.5	83
tt0000230	6.5	1361
tt0000231	3.5	8
tt0000234	6.1	38
tt0000235	6.2	590
tt0000239	5.4	191
tt0000240	4.3	52
tt0000242	6.3	934
tt0000245	6.1	25
tt0000246	6.4	912
tt0000247	5.0	410
tt0000248	6.0	1346
tt0000251	5.5	93
tt0000253	4.6	18
tt0000256	4.6	131
tt0000261	5.7	47
tt0000264	5.7	361
tt0000265	4.3	100
tt0000269	4.9	100
tt0000271	6.4	7
tt0000272	5.6	689
tt0000273	5.6	490
tt0000274	5.6	194
tt0000276	6.9	9
tt0000277	6.2	48
tt0000278	5.6	7
tt0000279	4.3	7
tt0000280	4.6	7
tt0000281	5.3	7
tt0000283	5.8	12
tt0000284	5.3	182
tt0000285	5.3	7
tt0000286	5.6	181
tt0000287	4.9	124
tt0000288	5.3	161
tt0000292	5.3	68
tt0000296	5.8	210
tt0000299	5.5	187
tt0000300	6.9	1060
tt0000301	4.4	320
tt0000302	5.1	148
tt0000304	6.0	1037
tt0000306	5.4	173
tt0000307	4.9	63
tt0000308	5.6	64
tt0000309	6.1	734
tt0000310	7.3	15
tt0000313	5.8	672
tt0000319	5.8	144
tt0000321	4.8	173
tt0000328	6.3	7
tt0000335	6.0	39
tt0000337	5.0	314
tt0000340	4.9	240
tt0000341	4.9	295
tt0000346	4.8	167
tt0000347	4.4	83
tt0000349	5.7	97
tt0000350	5.8	629
tt0000352	5.9	24
tt0000353	5.1	294
tt0000355	6.1	574
tt0000357	5.8	351
tt0000358	6.2	586
tt0000359	7.1	2507
tt0000361	8.1	10
tt0000363	6.2	122
tt0000364	5.4	124
tt0000368	6.5	11
tt0000370	5.5	370
tt0000373	6.2	57
tt0000376	7.0	6
tt0000377	6.2	98
tt0000379	5.2	6
tt0000380	7.2	13
tt0000381	3.9	10
tt0000384	5.8	190
tt0000387	5.2	290
tt0000388	5.1	103
tt0000399	6.0	647
tt0000400	6.4	10
tt0000402	5.7	7
tt0000406	5.5	23
tt0000407	3.7	29
tt0000409	5.2	174
tt0000410	6.7	875
tt0000412	4.2	12
tt0000413	5.5	354
tt0000414	5.3	651
tt0000416	5.3	126
tt0000417	8.2	43464
tt0000420	6.3	2339
tt0000423	5.4	189
tt0000425	5.2	10
tt0000426	4.8	6
tt0000430	5.9	613
tt0000432	5.6	167
tt0000436	6.1	454
tt0000437	5.1	195
tt0000439	7.3	17127
tt0000440	5.4	182
tt0000441	6.5	6
tt0000442	4.7	60
tt0000443	5.8	9
tt0000446	6.1	9
tt0000447	6.4	2096
tt0000451	6.6	761
tt0000452	4.7	84
tt0000455	6.8	1659
tt0000456	4.2	38
tt0000459	4.6	53
tt0000460	6.3	7
tt0000464	4.7	355
tt0000465	7.3	1149
tt0000469	5.8	904
tt0000471	5.1	406
tt0000472	6.4	13
tt0000479	5.4	335
tt0000480	5.0	161
tt0000487	7.1	424
tt0000488	6.9	698
tt0000491	4.0	40
tt0000492	5.1	88
tt0000495	6.0	83
tt0000496	6.1	40
tt0000497	5.1	51
tt0000498	6.6	1035
tt0000499	7.6	3075
tt0000501	4.8	26
tt0000502	4.5	8
tt0000505	8.1	11
tt0000506	5.0	6
tt0000507	3.7	28
tt0000509	6.1	20
tt0000511	6.6	25
tt0000512	4.5	40
tt0000515	4.8	74
tt0000516	6.5	849
tt0000519	5.7	303
tt0000520	6.5	33
tt0000521	5.5	252
tt0000524	5.7	660
tt0000525	5.4	40
tt0000526	4.3	40
tt0000528	6.0	9
tt0000533	7.2	18
tt0000534	6.6	972
tt0000535	5.1	47
tt0000537	4.5	65
tt0000543	5.2	12
tt0000546	6.7	1685
tt0000548	5.5	6
tt0000550	4.4	8
tt0000552	5.8	40
tt0000553	6.5	315
tt0000554	6.2	1106
tt0000555	5.2	11
tt0000557	4.7	94
tt0000561	5.4	31
tt0000565	6.3	446
tt0000567	6.7	913
tt0000570	4.1	34
tt0000571	6.9	52
tt0000574	6.1	600
tt0000575	5.9	409
tt0000576	6.0	195
tt0000578	7.4	11
tt0000581	5.2	6
tt0000582	5.0	594
tt0000583	5.4	27
tt0000584	5.0	55
tt0000586	6.2	6
tt0000591	5.5	6
tt0000595	5.7	6
tt0000596	6.0	5
tt0000597	4.9	55
tt0000598	5.6	27
